Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,url,icon
Chinchou,"['Water', 'Electric']",330,75,38,38,56,56,67,https://pokemondb.net/pokedex/chinchou,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
Lanturn,"['Water', 'Electric']",460,125,58,58,76,76,67,https://pokemondb.net/pokedex/lanturn,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
Pichu,"['Electric', '']",205,20,40,15,35,35,60,https://pokemondb.net/pokedex/pichu,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
Cleffa,"['Fairy', '']",218,50,25,28,45,55,15,https://pokemondb.net/pokedex/cleffa,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
Igglybuff,"['Normal', 'Fairy']",210,90,30,15,40,20,15,https://pokemondb.net/pokedex/igglybuff,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
Togepi,"['Fairy', '']",245,35,20,65,40,65,20,https://pokemondb.net/pokedex/togepi,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
Togetic,"['Fairy', 'Flying']",405,55,40,85,80,105,40,https://pokemondb.net/pokedex/togetic,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
Natu,"['Psychic', 'Flying']",320,40,50,45,70,45,70,https://pokemondb.net/pokedex/natu,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
Xatu,"['Psychic', 'Flying']",470,65,75,70,95,70,95,https://pokemondb.net/pokedex/xatu,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
Mareep,"['Electric', '']",280,55,40,40,65,45,35,https://pokemondb.net/pokedex/mareep,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
Flaaffy,"['Electric', '']",365,70,55,55,80,60,45,https://pokemondb.net/pokedex/flaaffy,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
Ampharos,"['Electric', '']",510,90,75,85,115,90,55,https://pokemondb.net/pokedex/ampharos,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
Bellossom,"['Grass', '']",490,75,80,95,90,100,50,https://pokemondb.net/pokedex/bellossom,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
Marill,"['Water', 'Fairy']",250,70,20,50,20,50,40,https://pokemondb.net/pokedex/marill,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
Azumarill,"['Water', 'Fairy']",420,100,50,80,60,80,50,https://pokemondb.net/pokedex/azumarill,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
Sudowoodo,"['Rock', '']",410,70,100,115,30,65,30,https://pokemondb.net/pokedex/sudowoodo,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
Politoed,"['Water', '']",500,90,75,75,90,100,70,https://pokemondb.net/pokedex/politoed,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
Hoppip,"['Grass', 'Flying']",250,35,35,40,35,55,50,https://pokemondb.net/pokedex/hoppip,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
Skiploom,"['Grass', 'Flying']",340,55,45,50,45,65,80,https://pokemondb.net/pokedex/skiploom,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
Jumpluff,"['Grass', 'Flying']",460,75,55,70,55,95,110,https://pokemondb.net/pokedex/jumpluff,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
Aipom,"['Normal', '']",360,55,70,55,40,55,85,https://pokemondb.net/pokedex/aipom,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
Sunkern,"['Grass', '']",180,30,30,30,30,30,30,https://pokemondb.net/pokedex/sunkern,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
Sunflora,"['Grass', '']",425,75,75,55,105,85,30,https://pokemondb.net/pokedex/sunflora,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
Yanma,"['Bug', 'Flying']",390,65,65,45,75,45,95,https://pokemondb.net/pokedex/yanma,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
Wooper,"['Water', 'Ground']",210,55,45,45,25,25,15,https://pokemondb.net/pokedex/wooper,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
Quagsire,"['Water', 'Ground']",430,95,85,85,65,65,35,https://pokemondb.net/pokedex/quagsire,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
Espeon,"['Psychic', '']",525,65,65,60,130,95,110,https://pokemondb.net/pokedex/espeon,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
Umbreon,"['Dark', '']",525,95,65,110,60,130,65,https://pokemondb.net/pokedex/umbreon,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
Murkrow,"['Dark', 'Flying']",405,60,85,42,85,42,91,https://pokemondb.net/pokedex/murkrow,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
Slowking,"['Water', 'Psychic']",490,95,75,80,100,110,30,https://pokemondb.net/pokedex/slowking,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
Misdreavus,"['Ghost', '']",435,60,60,60,85,85,85,https://pokemondb.net/pokedex/misdreavus,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
Unown,"['Psychic', '']",336,48,72,48,72,48,48,https://pokemondb.net/pokedex/unown,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
Wobbuffet,"['Psychic', '']",405,190,33,58,33,58,33,https://pokemondb.net/pokedex/wobbuffet,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
Girafarig,"['Normal', 'Psychic']",455,70,80,65,90,65,85,https://pokemondb.net/pokedex/girafarig,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
Pineco,"['Bug', '']",290,50,65,90,35,35,15,https://pokemondb.net/pokedex/pineco,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
Forretress,"['Bug', 'Steel']",465,75,90,140,60,60,40,https://pokemondb.net/pokedex/forretress,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
Dunsparce,"['Normal', '']",415,100,70,70,65,65,45,https://pokemondb.net/pokedex/dunsparce,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
Gligar,"['Ground', 'Flying']",430,65,75,105,35,65,85,https://pokemondb.net/pokedex/gligar,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
Steelix,"['Steel', 'Ground']",510,75,85,200,55,65,30,https://pokemondb.net/pokedex/steelix,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
Snubbull,"['Fairy', '']",300,60,80,50,40,40,30,https://pokemondb.net/pokedex/snubbull,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
Granbull,"['Fairy', '']",450,90,120,75,60,60,45,https://pokemondb.net/pokedex/granbull,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
Qwilfish,"['Water', 'Poison']",440,65,95,85,55,55,85,https://pokemondb.net/pokedex/qwilfish,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
Scizor,"['Bug', 'Steel']",500,70,130,100,55,80,65,https://pokemondb.net/pokedex/scizor,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
Shuckle,"['Bug', 'Rock']",505,20,10,230,10,230,5,https://pokemondb.net/pokedex/shuckle,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
Heracross,"['Bug', 'Fighting']",500,80,125,75,40,95,85,https://pokemondb.net/pokedex/heracross,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
Sneasel,"['Dark', 'Ice']",430,55,95,55,35,75,115,https://pokemondb.net/pokedex/sneasel,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
Teddiursa,"['Normal', '']",330,60,80,50,50,50,40,https://pokemondb.net/pokedex/teddiursa,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
Ursaring,"['Normal', '']",500,90,130,75,75,75,55,https://pokemondb.net/pokedex/ursaring,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
Slugma,"['Fire', '']",250,40,40,40,70,40,20,https://pokemondb.net/pokedex/slugma,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
Magcargo,"['Fire', 'Rock']",430,60,50,120,90,80,30,https://pokemondb.net/pokedex/magcargo,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
Swinub,"['Ice', 'Ground']",250,50,50,40,30,30,50,https://pokemondb.net/pokedex/swinub,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
Piloswine,"['Ice', 'Ground']",450,100,100,80,60,60,50,https://pokemondb.net/pokedex/piloswine,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
Corsola,"['Water', 'Rock']",410,65,55,95,65,95,35,https://pokemondb.net/pokedex/corsola,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
Remoraid,"['Water', '']",300,35,65,35,65,35,65,https://pokemondb.net/pokedex/remoraid,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
Octillery,"['Water', '']",480,75,105,75,105,75,45,https://pokemondb.net/pokedex/octillery,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
Delibird,"['Ice', 'Flying']",330,45,55,45,65,45,75,https://pokemondb.net/pokedex/delibird,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
Mantine,"['Water', 'Flying']",485,85,40,70,80,140,70,https://pokemondb.net/pokedex/mantine,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
Skarmory,"['Steel', 'Flying']",465,65,80,140,40,70,70,https://pokemondb.net/pokedex/skarmory,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
Houndour,"['Dark', 'Fire']",330,45,60,30,80,50,65,https://pokemondb.net/pokedex/houndour,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
Houndoom,"['Dark', 'Fire']",500,75,90,50,110,80,95,https://pokemondb.net/pokedex/houndoom,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
Kingdra,"['Water', 'Dragon']",540,75,95,95,95,95,85,https://pokemondb.net/pokedex/kingdra,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
Phanpy,"['Ground', '']",330,90,60,60,40,40,40,https://pokemondb.net/pokedex/phanpy,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
Donphan,"['Ground', '']",500,90,120,120,60,60,50,https://pokemondb.net/pokedex/donphan,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
Porygon2,"['Normal', '']",515,85,80,90,105,95,60,https://pokemondb.net/pokedex/porygon2,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
Stantler,"['Normal', '']",465,73,95,62,85,65,85,https://pokemondb.net/pokedex/stantler,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
Smeargle,"['Normal', '']",250,55,20,35,20,45,75,https://pokemondb.net/pokedex/smeargle,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
Tyrogue,"['Fighting', '']",210,35,35,35,35,35,35,https://pokemondb.net/pokedex/tyrogue,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
Hitmontop,"['Fighting', '']",455,50,95,95,35,110,70,https://pokemondb.net/pokedex/hitmontop,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
Smoochum,"['Ice', 'Psychic']",305,45,30,15,85,65,65,https://pokemondb.net/pokedex/smoochum,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
Elekid,"['Electric', '']",360,45,63,37,65,55,95,https://pokemondb.net/pokedex/elekid,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
Magby,"['Fire', '']",365,45,75,37,70,55,83,https://pokemondb.net/pokedex/magby,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
Miltank,"['Normal', '']",490,95,80,105,40,70,100,https://pokemondb.net/pokedex/miltank,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
Blissey,"['Normal', '']",540,255,10,10,75,135,55,https://pokemondb.net/pokedex/blissey,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
Raikou,"['Electric', '']",580,90,85,75,115,100,115,https://pokemondb.net/pokedex/raikou,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
Entei,"['Fire', '']",580,115,115,85,90,75,100,https://pokemondb.net/pokedex/entei,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
Suicune,"['Water', '']",580,100,75,115,90,115,85,https://pokemondb.net/pokedex/suicune,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
Larvitar,"['Rock', 'Ground']",300,50,64,50,45,50,41,https://pokemondb.net/pokedex/larvitar,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
Pupitar,"['Rock', 'Ground']",410,70,84,70,65,70,51,https://pokemondb.net/pokedex/pupitar,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
Tyranitar,"['Rock', 'Dark']",600,100,134,110,95,100,61,https://pokemondb.net/pokedex/tyranitar,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
Lugia,"['Psychic', 'Flying']",680,106,90,130,90,154,110,https://pokemondb.net/pokedex/lugia,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
Ho-oh,"['Fire', 'Flying']",680,106,130,90,110,154,90,https://pokemondb.net/pokedex/ho-oh,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
Celebi,"['Psychic', 'Grass']",600,100,100,100,100,100,100,https://pokemondb.net/pokedex/celebi,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
Treecko,"['Grass', '']",310,40,45,35,65,55,70,https://pokemondb.net/pokedex/treecko,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
Grovyle,"['Grass', '']",405,50,65,45,85,65,95,https://pokemondb.net/pokedex/grovyle,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
Sceptile,"['Grass', '']",530,70,85,65,105,85,120,https://pokemondb.net/pokedex/sceptile,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
Torchic,"['Fire', '']",310,45,60,40,70,50,45,https://pokemondb.net/pokedex/torchic,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
Combusken,"['Fire', 'Fighting']",405,60,85,60,85,60,55,https://pokemondb.net/pokedex/combusken,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
Blaziken,"['Fire', 'Fighting']",530,80,120,70,110,70,80,https://pokemondb.net/pokedex/blaziken,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
Mudkip,"['Water', '']",310,50,70,50,50,50,40,https://pokemondb.net/pokedex/mudkip,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
Marshtomp,"['Water', 'Ground']",405,70,85,70,60,70,50,https://pokemondb.net/pokedex/marshtomp,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
Swampert,"['Water', 'Ground']",535,100,110,90,85,90,60,https://pokemondb.net/pokedex/swampert,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
Poochyena,"['Dark', '']",220,35,55,35,30,30,35,https://pokemondb.net/pokedex/poochyena,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
Mightyena,"['Dark', '']",420,70,90,70,60,60,70,https://pokemondb.net/pokedex/mightyena,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
Zigzagoon,"['Normal', '']",240,38,30,41,30,41,60,https://pokemondb.net/pokedex/zigzagoon,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
Linoone,"['Normal', '']",420,78,70,61,50,61,100,https://pokemondb.net/pokedex/linoone,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
Wurmple,"['Bug', '']",195,45,45,35,20,30,20,https://pokemondb.net/pokedex/wurmple,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
Silcoon,"['Bug', '']",205,50,35,55,25,25,15,https://pokemondb.net/pokedex/silcoon,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
Beautifly,"['Bug', 'Flying']",395,60,70,50,100,50,65,https://pokemondb.net/pokedex/beautifly,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
Cascoon,"['Bug', '']",205,50,35,55,25,25,15,https://pokemondb.net/pokedex/cascoon,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
Dustox,"['Bug', 'Poison']",385,60,50,70,50,90,65,https://pokemondb.net/pokedex/dustox,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
Lotad,"['Water', 'Grass']",220,40,30,30,40,50,30,https://pokemondb.net/pokedex/lotad,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
Lombre,"['Water', 'Grass']",340,60,50,50,60,70,50,https://pokemondb.net/pokedex/lombre,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
Ludicolo,"['Water', 'Grass']",480,80,70,70,90,100,70,https://pokemondb.net/pokedex/ludicolo,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
Seedot,"['Grass', '']",220,40,40,50,30,30,30,https://pokemondb.net/pokedex/seedot,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
Nuzleaf,"['Grass', 'Dark']",340,70,70,40,60,40,60,https://pokemondb.net/pokedex/nuzleaf,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
Shiftry,"['Grass', 'Dark']",480,90,100,60,90,60,80,https://pokemondb.net/pokedex/shiftry,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
Taillow,"['Normal', 'Flying']",270,40,55,30,30,30,85,https://pokemondb.net/pokedex/taillow,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
Swellow,"['Normal', 'Flying']",455,60,85,60,75,50,125,https://pokemondb.net/pokedex/swellow,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
Wingull,"['Water', 'Flying']",270,40,30,30,55,30,85,https://pokemondb.net/pokedex/wingull,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
Pelipper,"['Water', 'Flying']",440,60,50,100,95,70,65,https://pokemondb.net/pokedex/pelipper,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
Ralts,"['Psychic', 'Fairy']",198,28,25,25,45,35,40,https://pokemondb.net/pokedex/ralts,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
Kirlia,"['Psychic', 'Fairy']",278,38,35,35,65,55,50,https://pokemondb.net/pokedex/kirlia,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
Gardevoir,"['Psychic', 'Fairy']",518,68,65,65,125,115,80,https://pokemondb.net/pokedex/gardevoir,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
Surskit,"['Bug', 'Water']",269,40,30,32,50,52,65,https://pokemondb.net/pokedex/surskit,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png
Masquerain,"['Bug', 'Flying']",454,70,60,62,100,82,80,https://pokemondb.net/pokedex/masquerain,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png
Shroomish,"['Grass', '']",295,60,40,60,40,60,35,https://pokemondb.net/pokedex/shroomish,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png
Breloom,"['Grass', 'Fighting']",460,60,130,80,60,60,70,https://pokemondb.net/pokedex/breloom,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png
Slakoth,"['Normal', '']",280,60,60,60,35,35,30,https://pokemondb.net/pokedex/slakoth,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png
Vigoroth,"['Normal', '']",440,80,80,80,55,55,90,https://pokemondb.net/pokedex/vigoroth,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png
Slaking,"['Normal', '']",670,150,160,100,95,65,100,https://pokemondb.net/pokedex/slaking,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png
Nincada,"['Bug', 'Ground']",266,31,45,90,30,30,40,https://pokemondb.net/pokedex/nincada,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png
Ninjask,"['Bug', 'Flying']",456,61,90,45,50,50,160,https://pokemondb.net/pokedex/ninjask,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png
Shedinja,"['Bug', 'Ghost']",236,1,90,45,30,30,40,https://pokemondb.net/pokedex/shedinja,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png
Whismur,"['Normal', '']",240,64,51,23,51,23,28,https://pokemondb.net/pokedex/whismur,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png
Loudred,"['Normal', '']",360,84,71,43,71,43,48,https://pokemondb.net/pokedex/loudred,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png
Exploud,"['Normal', '']",490,104,91,63,91,73,68,https://pokemondb.net/pokedex/exploud,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png
Makuhita,"['Fighting', '']",237,72,60,30,20,30,25,https://pokemondb.net/pokedex/makuhita,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png
Hariyama,"['Fighting', '']",474,144,120,60,40,60,50,https://pokemondb.net/pokedex/hariyama,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png
Azurill,"['Normal', 'Fairy']",190,50,20,40,20,40,20,https://pokemondb.net/pokedex/azurill,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png
Nosepass,"['Rock', '']",375,30,45,135,45,90,30,https://pokemondb.net/pokedex/nosepass,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png
Skitty,"['Normal', '']",260,50,45,45,35,35,50,https://pokemondb.net/pokedex/skitty,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png
Delcatty,"['Normal', '']",400,70,65,65,55,55,90,https://pokemondb.net/pokedex/delcatty,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png
Sableye,"['Dark', 'Ghost']",380,50,75,75,65,65,50,https://pokemondb.net/pokedex/sableye,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png
Mawile,"['Steel', 'Fairy']",380,50,85,85,55,55,50,https://pokemondb.net/pokedex/mawile,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png
Aron,"['Steel', 'Rock']",330,50,70,100,40,40,30,https://pokemondb.net/pokedex/aron,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png
Lairon,"['Steel', 'Rock']",430,60,90,140,50,50,40,https://pokemondb.net/pokedex/lairon,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png
Aggron,"['Steel', 'Rock']",530,70,110,180,60,60,50,https://pokemondb.net/pokedex/aggron,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png
Meditite,"['Fighting', 'Psychic']",280,30,40,55,40,55,60,https://pokemondb.net/pokedex/meditite,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png
Medicham,"['Fighting', 'Psychic']",410,60,60,75,60,75,80,https://pokemondb.net/pokedex/medicham,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png
Electrike,"['Electric', '']",295,40,45,40,65,40,65,https://pokemondb.net/pokedex/electrike,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png
Manectric,"['Electric', '']",475,70,75,60,105,60,105,https://pokemondb.net/pokedex/manectric,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png
Plusle,"['Electric', '']",405,60,50,40,85,75,95,https://pokemondb.net/pokedex/plusle,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png
Minun,"['Electric', '']",405,60,40,50,75,85,95,https://pokemondb.net/pokedex/minun,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png
Volbeat,"['Bug', '']",430,65,73,75,47,85,85,https://pokemondb.net/pokedex/volbeat,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png
Illumise,"['Bug', '']",430,65,47,75,73,85,85,https://pokemondb.net/pokedex/illumise,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png
Roselia,"['Grass', 'Poison']",400,50,60,45,100,80,65,https://pokemondb.net/pokedex/roselia,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png
Gulpin,"['Poison', '']",302,70,43,53,43,53,40,https://pokemondb.net/pokedex/gulpin,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png
Swalot,"['Poison', '']",467,100,73,83,73,83,55,https://pokemondb.net/pokedex/swalot,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png
Carvanha,"['Water', 'Dark']",305,45,90,20,65,20,65,https://pokemondb.net/pokedex/carvanha,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png
Sharpedo,"['Water', 'Dark']",460,70,120,40,95,40,95,https://pokemondb.net/pokedex/sharpedo,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png
Wailmer,"['Water', '']",400,130,70,35,70,35,60,https://pokemondb.net/pokedex/wailmer,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png
Wailord,"['Water', '']",500,170,90,45,90,45,60,https://pokemondb.net/pokedex/wailord,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png
Numel,"['Fire', 'Ground']",305,60,60,40,65,45,35,https://pokemondb.net/pokedex/numel,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png
Camerupt,"['Fire', 'Ground']",460,70,100,70,105,75,40,https://pokemondb.net/pokedex/camerupt,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png
Torkoal,"['Fire', '']",470,70,85,140,85,70,20,https://pokemondb.net/pokedex/torkoal,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png
Spoink,"['Psychic', '']",330,60,25,35,70,80,60,https://pokemondb.net/pokedex/spoink,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png
Grumpig,"['Psychic', '']",470,80,45,65,90,110,80,https://pokemondb.net/pokedex/grumpig,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png
Spinda,"['Normal', '']",360,60,60,60,60,60,60,https://pokemondb.net/pokedex/spinda,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png
Trapinch,"['Ground', '']",290,45,100,45,45,45,10,https://pokemondb.net/pokedex/trapinch,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png
Vibrava,"['Ground', 'Dragon']",340,50,70,50,50,50,70,https://pokemondb.net/pokedex/vibrava,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png
Flygon,"['Ground', 'Dragon']",520,80,100,80,80,80,100,https://pokemondb.net/pokedex/flygon,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png
Cacnea,"['Grass', '']",335,50,85,40,85,40,35,https://pokemondb.net/pokedex/cacnea,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png
Cacturne,"['Grass', 'Dark']",475,70,115,60,115,60,55,https://pokemondb.net/pokedex/cacturne,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png
Swablu,"['Normal', 'Flying']",310,45,40,60,40,75,50,https://pokemondb.net/pokedex/swablu,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png
Altaria,"['Dragon', 'Flying']",490,75,70,90,70,105,80,https://pokemondb.net/pokedex/altaria,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png
Zangoose,"['Normal', '']",458,73,115,60,60,60,90,https://pokemondb.net/pokedex/zangoose,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png
Seviper,"['Poison', '']",458,73,100,60,100,60,65,https://pokemondb.net/pokedex/seviper,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png
Lunatone,"['Rock', 'Psychic']",460,90,55,65,95,85,70,https://pokemondb.net/pokedex/lunatone,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png
Solrock,"['Rock', 'Psychic']",460,90,95,85,55,65,70,https://pokemondb.net/pokedex/solrock,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png
Barboach,"['Water', 'Ground']",288,50,48,43,46,41,60,https://pokemondb.net/pokedex/barboach,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png
